ART,PROJ,CHG,DIST,QE,TOF,DRIFT
105,HE,1,100,89.0,2.8,0.0
105,HE,1,200,89.0,2.8,0.0
105,HE,1,300,89.0,2.8,0.0
105,HE,1,400,89.0,2.8,0.0
105,HE,1,500,102.0,3.2,0.0
105,HE,1,600,123.0,3.9,0.0
105,HE,1,700,145.0,4.6,0.1
105,HE,1,800,168.0,5.3,0.1
105,HE,1,900,191.0,6.0,0.1
105,HE,1,1000,215.0,6.7,0.1
105,HE,1,1100,245.0,7.6,0.2
105,HE,2,200,89.0,3.5,0.0
105,HE,2,300,89.0,3.5,0.0
105,HE,2,400,89.0,3.5,0.0
105,HE,2,500,89.0,3.5,0.0
105,HE,2,600,89.0,3.5,0.0
105,HE,2,700,92.0,3.6,0.0
105,HE,2,800,106.0,4.2,0.1
105,HE,2,900,121.0,4.7,0.1
105,HE,2,1000,135.0,5.3,0.1
105,HE,2,1100,150.0,5.9,0.1
105,HE,2,1200,165.0,6.5,0.1
105,HE,2,1300,181.0,7.1,0.1
105,HE,2,1400,197.0,7.7,0.2
105,HE,2,1500,214.0,8.3,0.2
105,HE,3,200,89.0,4.1,0.0
105,HE,3,300,89.0,4.1,0.0
105,HE,3,400,89.0,4.1,0.0
105,HE,3,500,89.0,4.1,0.0
105,HE,3,600,89.0,4.1,0.0
105,HE,3,700,89.0,4.1,0.0
105,HE,3,800,89.0,4.1,0.0
105,HE,3,900,89.0,4.1,0.0
105,HE,3,1000,100.0,4.6,0.1
105,HE,3,1100,111.0,5.0,0.1
105,HE,3,1200,122.0,5.5,0.1
105,HE,3,1300,133.0,6.0,0.1
105,HE,3,1400,145.0,6.5,0.1
105,HE,3,1500,157.0,7.1,0.1
105,HE,3,1600,169.0,7.6,0.2
105,HE,3,1700,181.0,8.1,0.2
105,HE,3,1800,194.0,8.7,0.2
105,HE,3,1900,206.0,9.2,0.2
105,HE,4,200,89.0,4.9,0.1
105,HE,4,300,89.0,4.9,0.1
105,HE,4,400,89.0,4.9,0.1
105,HE,4,500,89.0,4.9,0.1
105,HE,4,600,89.0,4.9,0.1
105,HE,4,700,89.0,4.9,0.1
105,HE,4,800,89.0,4.9,0.1
105,HE,4,900,89.0,4.9,0.1
105,HE,4,1000,89.0,4.9,0.1
105,HE,4,1100,89.0,4.9,0.1
105,HE,4,1200,89.0,4.9,0.1
105,HE,4,1300,92.0,5.0,0.1
105,HE,4,1400,100.0,5.4,0.1
105,HE,4,1500,108.0,5.9,0.1
105,HE,4,1600,116.0,6.3,0.1
105,HE,4,1700,124.0,6.7,0.1
105,HE,4,1800,133.0,7.2,0.1
105,HE,4,1900,142.0,7.6,0.2
105,HE,4,2000,150.0,8.1,0.2
105,HE,4,2100,159.0,8.5,0.2
105,HE,4,2200,169.0,9.0,0.2
105,HE,4,2300,178.0,9.5,0.3
105,HE,4,2400,187.0,9.9,0.3
105,HE,4,2500,197.0,10.4,0.3
105,HE,5,200,89.0,5.8,0.1
105,HE,5,300,89.0,5.8,0.1
105,HE,5,400,89.0,5.8,0.1
105,HE,5,500,89.0,5.8,0.1
105,HE,5,600,89.0,5.8,0.1
105,HE,5,700,89.0,5.8,0.1
105,HE,5,800,89.0,5.8,0.1
105,HE,5,900,89.0,5.8,0.1
105,HE,5,1000,89.0,5.8,0.1
105,HE,5,1100,89.0,5.8,0.1
105,HE,5,1200,89.0,5.8,0.1
105,HE,5,1300,89.0,5.8,0.1
105,HE,5,1400,89.0,5.8,0.1
105,HE,5,1500,89.0,5.8,0.1
105,HE,5,1600,89.0,5.8,0.1
105,HE,5,1700,89.0,5.8,0.1
105,HE,5,1800,92.0,6.0,0.1
105,HE,5,1900,98.0,6.4,0.1
105,HE,5,2000,105.0,6.7,0.1
105,HE,5,2100,111.0,7.1,0.1
105,HE,5,2200,117.0,7.5,0.2
105,HE,5,2300,124.0,7.9,0.2
105,HE,5,2400,130.0,8.3,0.2
105,HE,5,2500,137.0,8.7,0.2
105,HE,5,2600,144.0,9.1,0.2
105,HE,5,2700,151.0,9.5,0.3
105,HE,5,2800,158.0,10.0,0.3
105,HE,5,2900,166.0,10.4,0.3
105,HE,5,3000,173.0,10.8,0.3
105,HE,5,3100,181.0,11.3,0.4
105,HE,5,3200,188.0,11.7,0.4
105,HE,6,200,89.0,6.7,0.1
105,HE,6,300,89.0,6.7,0.1
105,HE,6,400,89.0,6.7,0.1
105,HE,6,500,89.0,6.7,0.1
105,HE,6,600,89.0,6.7,0.1
105,HE,6,700,89.0,6.7,0.1
105,HE,6,800,89.0,6.7,0.1
105,HE,6,900,89.0,6.7,0.1
105,HE,6,1000,89.0,6.7,0.1
105,HE,6,1100,89.0,6.7,0.1
105,HE,6,1200,89.0,6.7,0.1
105,HE,6,1300,89.0,6.7,0.1
105,HE,6,1400,89.0,6.7,0.1
105,HE,6,1500,89.0,6.7,0.1
105,HE,6,1600,89.0,6.7,0.1
105,HE,6,1700,89.0,6.7,0.1
105,HE,6,1800,89.0,6.7,0.1
105,HE,6,1900,89.0,6.7,0.1
105,HE,6,2000,89.0,6.7,0.1
105,HE,6,2100,89.0,6.7,0.1
105,HE,6,2200,89.0,6.7,0.1
105,HE,6,2300,90.0,6.8,0.1
105,HE,6,2400,95.0,7.1,0.1
105,HE,6,2500,100.0,7.5,0.2
105,HE,6,2600,105.0,7.8,0.2
105,HE,6,2700,111.0,8.2,0.2
105,HE,6,2800,116.0,8.6,0.2
105,HE,6,2900,121.0,8.9,0.2
105,HE,6,3000,127.0,9.3,0.2
105,HE,6,3100,132.0,9.7,0.3
105,HE,6,3200,138.0,10.1,0.3
105,HE,6,3300,144.0,10.5,0.3
105,HE,6,3400,150.0,10.9,0.3
105,HE,6,3500,156.0,11.3,0.3
105,HE,6,3600,162.0,11.7,0.4
105,HE,6,3700,169.0,12.1,0.4
105,HE,6,3800,175.0,12.5,0.4
105,HE,7,200,89.0,8.1,0.2
105,HE,7,300,89.0,8.1,0.2
105,HE,7,400,89.0,8.1,0.2
105,HE,7,500,89.0,8.1,0.2
105,HE,7,600,89.0,8.1,0.2
105,HE,7,700,89.0,8.1,0.2
105,HE,7,800,89.0,8.1,0.2
105,HE,7,900,89.0,8.1,0.2
105,HE,7,1000,89.0,8.1,0.2
105,HE,7,1100,89.0,8.1,0.2
105,HE,7,1200,89.0,8.1,0.2
105,HE,7,1300,89.0,8.1,0.2
105,HE,7,1400,89.0,8.1,0.2
105,HE,7,1500,89.0,8.1,0.2
105,HE,7,1600,89.0,8.1,0.2
105,HE,7,1700,89.0,8.1,0.2
105,HE,7,1800,89.0,8.1,0.2
105,HE,7,1900,89.0,8.1,0.2
105,HE,7,2000,89.0,8.1,0.2
105,HE,7,2100,89.0,8.1,0.2
105,HE,7,2200,89.0,8.1,0.2
105,HE,7,2300,89.0,8.1,0.2
105,HE,7,2400,89.0,8.1,0.2
105,HE,7,2500,89.0,8.1,0.2
105,HE,7,2600,89.0,8.1,0.2
105,HE,7,2700,89.0,8.1,0.2
105,HE,7,2800,89.0,8.1,0.2
105,HE,7,2900,89.0,8.1,0.2
105,HE,7,3000,89.0,8.1,0.2
105,HE,7,3100,89.0,8.1,0.2
105,HE,7,3200,90.0,8.1,0.2
105,HE,7,3300,93.0,8.5,0.2
105,HE,7,3400,97.0,8.8,0.2
105,HE,7,3500,101.0,9.1,0.2
105,HE,7,3600,105.0,9.4,0.2
105,HE,7,3700,109.0,9.8,0.3
105,HE,7,3800,114.0,10.1,0.3
105,HE,7,3900,118.0,10.5,0.3
105,HE,7,4000,122.0,10.8,0.3
105,HE,7,4100,127.0,11.2,0.3
105,HE,7,4200,132.0,11.5,0.4
105,HE,7,4300,136.0,11.9,0.4
105,HE,7,4400,141.0,12.3,0.4
105,HE,7,4500,146.0,12.6,0.4
105,HE,7,4600,151.0,13.0,0.5
105,HE,7,4700,156.0,13.4,0.5
105,M1,1,100,89.0,2.8,0.0
105,M1,1,200,89.0,2.8,0.0
105,M1,1,300,89.0,2.8,0.0
105,M1,1,400,89.0,2.8,0.0
105,M1,1,500,102.0,3.2,0.0
105,M1,1,600,123.0,3.9,0.0
105,M1,1,700,145.0,4.6,0.1
105,M1,1,800,168.0,5.3,0.1
105,M1,1,900,191.0,6.0,0.1
105,M1,1,1000,215.0,6.7,0.1
105,M1,1,1100,245.0,7.6,0.2
105,M1,2,200,89.0,3.5,0.0
105,M1,2,300,89.0,3.5,0.0
105,M1,2,400,89.0,3.5,0.0
105,M1,2,500,89.0,3.5,0.0
105,M1,2,600,89.0,3.5,0.0
105,M1,2,700,92.0,3.6,0.0
105,M1,2,800,106.0,4.2,0.1
105,M1,2,900,121.0,4.7,0.1
105,M1,2,1000,135.0,5.3,0.1
105,M1,2,1100,150.0,5.9,0.1
105,M1,2,1200,165.0,6.5,0.1
105,M1,2,1300,181.0,7.1,0.1
105,M1,2,1400,197.0,7.7,0.2
105,M1,2,1500,214.0,8.3,0.2
105,M1,3,200,89.0,4.1,0.0
105,M1,3,300,89.0,4.1,0.0
105,M1,3,400,89.0,4.1,0.0
105,M1,3,500,89.0,4.1,0.0
105,M1,3,600,89.0,4.1,0.0
105,M1,3,700,89.0,4.1,0.0
105,M1,3,800,89.0,4.1,0.0
105,M1,3,900,89.0,4.1,0.0
105,M1,3,1000,100.0,4.6,0.1
105,M1,3,1100,111.0,5.0,0.1
105,M1,3,1200,122.0,5.5,0.1
105,M1,3,1300,133.0,6.0,0.1
105,M1,3,1400,145.0,6.5,0.1
105,M1,3,1500,157.0,7.1,0.1
105,M1,3,1600,169.0,7.6,0.2
105,M1,3,1700,181.0,8.1,0.2
105,M1,3,1800,194.0,8.7,0.2
105,M1,3,1900,206.0,9.2,0.2
105,M1,4,200,89.0,4.9,0.1
105,M1,4,300,89.0,4.9,0.1
105,M1,4,400,89.0,4.9,0.1
105,M1,4,500,89.0,4.9,0.1
105,M1,4,600,89.0,4.9,0.1
105,M1,4,700,89.0,4.9,0.1
105,M1,4,800,89.0,4.9,0.1
105,M1,4,900,89.0,4.9,0.1
105,M1,4,1000,89.0,4.9,0.1
105,M1,4,1100,89.0,4.9,0.1
105,M1,4,1200,89.0,4.9,0.1
105,M1,4,1300,92.0,5.0,0.1
105,M1,4,1400,100.0,5.4,0.1
105,M1,4,1500,108.0,5.9,0.1
105,M1,4,1600,116.0,6.3,0.1
105,M1,4,1700,124.0,6.7,0.1
105,M1,4,1800,133.0,7.2,0.1
105,M1,4,1900,142.0,7.6,0.2
105,M1,4,2000,150.0,8.1,0.2
105,M1,4,2100,159.0,8.5,0.2
105,M1,4,2200,169.0,9.0,0.2
105,M1,4,2300,178.0,9.5,0.3
105,M1,4,2400,187.0,9.9,0.3
105,M1,4,2500,197.0,10.4,0.3
105,M1,5,200,89.0,5.8,0.1
105,M1,5,300,89.0,5.8,0.1
105,M1,5,400,89.0,5.8,0.1
105,M1,5,500,89.0,5.8,0.1
105,M1,5,600,89.0,5.8,0.1
105,M1,5,700,89.0,5.8,0.1
105,M1,5,800,89.0,5.8,0.1
105,M1,5,900,89.0,5.8,0.1
105,M1,5,1000,89.0,5.8,0.1
105,M1,5,1100,89.0,5.8,0.1
105,M1,5,1200,89.0,5.8,0.1
105,M1,5,1300,89.0,5.8,0.1
105,M1,5,1400,89.0,5.8,0.1
105,M1,5,1500,89.0,5.8,0.1
105,M1,5,1600,89.0,5.8,0.1
105,M1,5,1700,89.0,5.8,0.1
105,M1,5,1800,92.0,6.0,0.1
105,M1,5,1900,98.0,6.4,0.1
105,M1,5,2000,105.0,6.7,0.1
105,M1,5,2100,111.0,7.1,0.1
105,M1,5,2200,117.0,7.5,0.2
105,M1,5,2300,124.0,7.9,0.2
105,M1,5,2400,130.0,8.3,0.2
105,M1,5,2500,137.0,8.7,0.2
105,M1,5,2600,144.0,9.1,0.2
105,M1,5,2700,151.0,9.5,0.3
105,M1,5,2800,158.0,10.0,0.3
105,M1,5,2900,166.0,10.4,0.3
105,M1,5,3000,173.0,10.8,0.3
105,M1,5,3100,181.0,11.3,0.4
105,M1,5,3200,188.0,11.7,0.4
105,M1,6,200,89.0,6.7,0.1
105,M1,6,300,89.0,6.7,0.1
105,M1,6,400,89.0,6.7,0.1
105,M1,6,500,89.0,6.7,0.1
105,M1,6,600,89.0,6.7,0.1
105,M1,6,700,89.0,6.7,0.1
105,M1,6,800,89.0,6.7,0.1
105,M1,6,900,89.0,6.7,0.1
105,M1,6,1000,89.0,6.7,0.1
105,M1,6,1100,89.0,6.7,0.1
105,M1,6,1200,89.0,6.7,0.1
105,M1,6,1300,89.0,6.7,0.1
105,M1,6,1400,89.0,6.7,0.1
105,M1,6,1500,89.0,6.7,0.1
105,M1,6,1600,89.0,6.7,0.1
105,M1,6,1700,89.0,6.7,0.1
105,M1,6,1800,89.0,6.7,0.1
105,M1,6,1900,89.0,6.7,0.1
105,M1,6,2000,89.0,6.7,0.1
105,M1,6,2100,89.0,6.7,0.1
105,M1,6,2200,89.0,6.7,0.1
105,M1,6,2300,90.0,6.8,0.1
105,M1,6,2400,95.0,7.1,0.1
105,M1,6,2500,100.0,7.5,0.2
105,M1,6,2600,105.0,7.8,0.2
105,M1,6,2700,111.0,8.2,0.2
105,M1,6,2800,116.0,8.6,0.2
105,M1,6,2900,121.0,8.9,0.2
105,M1,6,3000,127.0,9.3,0.2
105,M1,6,3100,132.0,9.7,0.3
105,M1,6,3200,138.0,10.1,0.3
105,M1,6,3300,144.0,10.5,0.3
105,M1,6,3400,150.0,10.9,0.3
105,M1,6,3500,156.0,11.3,0.3
105,M1,6,3600,162.0,11.7,0.4
105,M1,6,3700,169.0,12.1,0.4
105,M1,6,3800,175.0,12.5,0.4
105,M1,7,200,89.0,8.1,0.2
105,M1,7,300,89.0,8.1,0.2
105,M1,7,400,89.0,8.1,0.2
105,M1,7,500,89.0,8.1,0.2
105,M1,7,600,89.0,8.1,0.2
105,M1,7,700,89.0,8.1,0.2
105,M1,7,800,89.0,8.1,0.2
105,M1,7,900,89.0,8.1,0.2
