ART,PROJ,CHG,DIST,QE,TOF,DRIFT,ANGLE,VTERM
105,HE,1,100,89.0,2.8,0.0,5.1,331.0
105,HE,1,200,89.0,2.8,0.0,5.1,331.0
105,HE,1,300,89.0,2.8,0.0,5.1,331.0
105,HE,1,400,89.0,2.8,0.0,5.1,331.0
105,HE,1,500,102.0,3.2,0.0,5.9,326.0
105,HE,1,600,123.0,3.9,0.0,7.2,317.0
105,HE,1,700,145.0,4.6,0.1,8.5,308.0
105,HE,1,800,168.0,5.3,0.1,9.9,300.0
105,HE,1,900,191.0,6.0,0.1,11.4,291.0
105,HE,1,1000,215.0,6.7,0.1,12.9,283.0
105,HE,1,1100,245.0,7.6,0.2,14.7,273.0
105,HE,1,1300,340.0,10.0,0.3,20.6,248.0
105,HE,1,1600,574.0,15.6,0.7,34.6,199.0
105,HE,2,200,89.0,3.5,0.0,5.2,322.0
105,HE,2,300,89.0,3.5,0.0,5.2,322.0
105,HE,2,400,89.0,3.5,0.0,5.2,322.0
105,HE,2,500,89.0,3.5,0.0,5.2,322.0
105,HE,2,600,89.0,3.5,0.0,5.2,322.0
105,HE,2,700,92.0,3.6,0.0,5.4,321.0
105,HE,2,800,106.0,4.2,0.1,6.3,313.0
105,HE,2,900,121.0,4.7,0.1,7.2,307.0
105,HE,2,1000,135.0,5.3,0.1,8.1,300.0
105,HE,2,1100,150.0,5.9,0.1,9.1,293.0
105,HE,2,1200,165.0,6.5,0.1,10.1,286.0
105,HE,2,1300,181.0,7.1,0.1,11.1,279.0
105,HE,2,1400,197.0,7.7,0.2,12.1,272.0
105,HE,2,1500,214.0,8.3,0.2,13.2,266.0
105,HE,2,1600,385.0,12.7,0.5,23.2,223.0
105,HE,2,1700,405.0,13.5,0.5,24.5,216.0
105,HE,2,2200,470.0,16.2,0.8,29.4,194.0
105,HE,2,2800,552.0,19.6,1.1,35.8,169.0
105,HE,3,200,89.0,4.1,0.0,5.3,314.0
105,HE,3,300,89.0,4.1,0.0,5.3,314.0
105,HE,3,400,89.0,4.1,0.0,5.3,314.0
105,HE,3,500,89.0,4.1,0.0,5.3,314.0
105,HE,3,600,89.0,4.1,0.0,5.3,314.0
105,HE,3,700,89.0,4.1,0.0,5.3,314.0
105,HE,3,800,89.0,4.1,0.0,5.3,314.0
105,HE,3,900,89.0,4.1,0.0,5.3,314.0
105,HE,3,1000,100.0,4.6,0.1,6.0,308.0
105,HE,3,1100,111.0,5.0,0.1,6.7,303.0
105,HE,3,1200,122.0,5.5,0.1,7.4,297.0
105,HE,3,1300,133.0,6.0,0.1,8.2,291.0
105,HE,3,1400,145.0,6.5,0.1,8.9,286.0
105,HE,3,1500,157.0,7.1,0.1,9.7,279.0
105,HE,3,1600,169.0,7.6,0.2,10.5,273.0
105,HE,3,1700,181.0,8.1,0.2,11.4,268.0
105,HE,3,1800,194.0,8.7,0.2,12.2,262.0
105,HE,3,1900,206.0,9.2,0.2,13.1,256.0
105,HE,3,2400,372.0,14.8,0.6,23.5,205.0
105,HE,3,3200,435.0,18.2,1.0,29.2,179.0
105,HE,4,200,89.0,4.9,0.1,5.5,305.0
105,HE,4,300,89.0,4.9,0.1,5.5,305.0
105,HE,4,400,89.0,4.9,0.1,5.5,305.0
105,HE,4,500,89.0,4.9,0.1,5.5,305.0
105,HE,4,600,89.0,4.9,0.1,5.5,305.0
105,HE,4,700,89.0,4.9,0.1,5.5,305.0
105,HE,4,800,89.0,4.9,0.1,5.5,305.0
105,HE,4,900,89.0,4.9,0.1,5.5,305.0
105,HE,4,1000,89.0,4.9,0.1,5.5,305.0
105,HE,4,1100,89.0,4.9,0.1,5.5,305.0
105,HE,4,1200,89.0,4.9,0.1,5.5,305.0
105,HE,4,1300,92.0,5.0,0.1,5.7,303.0
105,HE,4,1400,100.0,5.4,0.1,6.2,299.0
105,HE,4,1500,108.0,5.9,0.1,6.7,293.0
105,HE,4,1600,116.0,6.3,0.1,7.3,288.0
105,HE,4,1700,124.0,6.7,0.1,7.9,283.0
105,HE,4,1800,133.0,7.2,0.1,8.5,278.0
105,HE,4,1900,142.0,7.6,0.2,9.1,273.0
105,HE,4,2000,150.0,8.1,0.2,9.7,268.0
105,HE,4,2100,159.0,8.5,0.2,10.3,264.0
105,HE,4,2200,169.0,9.0,0.2,11.0,258.0
105,HE,4,2300,178.0,9.5,0.3,11.7,253.0
105,HE,4,2400,187.0,9.9,0.3,12.4,249.0
105,HE,4,2500,197.0,10.4,0.3,13.1,244.0
105,HE,4,3000,280.0,14.0,0.6,18.7,212.0
105,HE,4,4300,465.0,22.4,1.4,32.7,151.0
105,HE,5,200,89.0,5.8,0.1,5.8,294.0
105,HE,5,300,89.0,5.8,0.1,5.8,294.0
105,HE,5,400,89.0,5.8,0.1,5.8,294.0
105,HE,5,500,89.0,5.8,0.1,5.8,294.0
105,HE,5,600,89.0,5.8,0.1,5.8,294.0
105,HE,5,700,89.0,5.8,0.1,5.8,294.0
105,HE,5,800,89.0,5.8,0.1,5.8,294.0
105,HE,5,900,89.0,5.8,0.1,5.8,294.0
105,HE,5,1000,89.0,5.8,0.1,5.8,294.0
105,HE,5,1100,89.0,5.8,0.1,5.8,294.0
105,HE,5,1200,89.0,5.8,0.1,5.8,294.0
105,HE,5,1300,89.0,5.8,0.1,5.8,294.0
105,HE,5,1400,89.0,5.8,0.1,5.8,294.0
105,HE,5,1500,89.0,5.8,0.1,5.8,294.0
105,HE,5,1600,89.0,5.8,0.1,5.8,294.0
105,HE,5,1700,89.0,5.8,0.1,5.8,294.0
105,HE,5,1800,92.0,6.0,0.1,6.0,291.0
105,HE,5,1900,98.0,6.4,0.1,6.5,287.0
105,HE,5,2000,105.0,6.7,0.1,6.9,283.0
105,HE,5,2100,111.0,7.1,0.1,7.4,279.0
105,HE,5,2200,117.0,7.5,0.2,7.9,274.0
105,HE,5,2300,124.0,7.9,0.2,8.4,270.0
105,HE,5,2400,130.0,8.3,0.2,8.9,266.0
105,HE,5,2500,137.0,8.7,0.2,9.4,262.0
